entry_id,installment_id,rank,text,gloss,last_month,amount,category
1,5,1,Sex,,2,,sex
2,5,2,Grateful Dead,especially live!,1,,politics
3,5,3,LSD,,5,,drugs
4,5,4,Beer,"Budweiser, Miller in bottles, Moosehead + Corona get your votes",7,,drugs
5,5,5,Sinse,"Sativa + Indica, anyone?",3,,cannabis
6,5,6,Hendrix,,31,,music
7,5,7,Equidemius,ballot box stuffer of the month,,,music
8,5,8,Pizza,with mushrooms (shrooms?),17,,drugs
9,5,9,Bong Hits,breakfast of champions!,,,cannabis
10,5,10,Pink Floyd,Syd Barrett rules,,,music
11,5,11,Harleys,,,,vehicles
12,5,12,Get Out of Prison,"an early release for Kevin, Pete, + Joe Brigode",,,politics
13,5,13,Gumby,"and his horse, Pokey",,,media
14,5,14,Laurie Anderson,"who sez High Times readers don't got no class, eh?",,,media
15,5,15,'Shrooms,,,,drugs
16,5,16,Homegrown,six-foot plants in the closet!,,,cannabis
17,5,17,Oral Sex,,,,sex
18,5,18,Eating Food Whilst Stoned,,,,experience
19,5,19,N.Y. Pot Parades,"Free Pot / We mean it, man!",,,cannabis
20,5,20,Rock + Roll,,,,music
21,5,21,Isolation Tanks,,,,drugs
22,5,22,Champagne,,,,drugs
23,5,23,NORML,,,,politics
24,5,24,My old beat-up Nikes that my mom wants to throw out,,,,experience
25,5,25,Alice Cooper,,,,music
26,5,26,High Times Magazine,you guys sent a lot of votes in!,,,media
27,5,27,Sex With Aliens,my place or yours?,,,sex
28,5,28,Iron Maiden,,,,music
29,5,29,Mr. Ed Reruns,"Gee, Wilbur!",,,media
30,5,30,69,Nope! Not 1969! Think again!,,,sex
31,5,31,The Young Ones,You bastard!,27,,media
32,5,32,Bowling,,,,sports
33,5,33,Being Married,,,,sex
34,5,34,Visine,gets the red out!,,,drugs
35,5,35,Silk underwear and whipped cream,breakfast of chimpanzees!,,,food
36,5,36,7-11 Big Gulps,,,,food
37,5,37,Russ Meyer Films,Beyond the Valley of the Dolls,,,media
38,5,38,French Kissing,,,,sex
39,5,39,Dancing Bears,wimpy vote of the month,,,objects
40,5,40,Smoking Colombian while eating pizza and listening to Aerosmith,,,,cannabis
41,7,1,Dump Reagan,this vote is a landslide!,1,,politics
42,7,2,Sex,,2,,sex
43,7,3,The Grateful Dead,,3,,music
44,7,4,LSD,,7,,drugs
45,7,5,Harleys,put your ass in some class!,18,,vehicles
46,7,6,Indoor homegrown killer green sticky skunk buds,with no seeds,4,,cannabis
47,7,7,Shrooms,,,,drugs
48,7,8,Pink Floyd,,9,,music
49,7,9,Ronald Reagan,must be sympathy votes!,40,,politics
50,7,10,Bong Hits,,9,,cannabis
51,7,11,Freedom,,,,politics
52,7,12,ZZ Top,,,,music
53,7,13,Equidemius,Hey! Will somebody tell me what Equidemius means?,,,music
54,7,14,Indoor Grow Rooms,,,,cannabis
55,7,15,Looking forward to Ronald Reagan's funeral,we hope he dies of an overdose,,,politics
56,7,16,Compact Discs,,28,,media
57,7,17,Led Zeppelin,,15,,music
58,7,18,Steven King,The Stand is much better than The Dead Zone,,,music
59,7,19,Mustang GTs,,,,vehicles
60,7,20,Conan quote on confronting your enemy,,,,media
61,7,21,Schmee,big word for reefer now,,,cannabis
62,7,22,Gilligan's Island,Gee Skipper!,,,media
63,7,23,Lava Lamps,,16,,objects
64,7,24,Beer,,5,,drugs
65,7,25,Silly Ciben,,,,music
66,7,26,Getting $280 per oz. for my homegrown marijuana,,,,cannabis
67,7,27,NORML,legalize pot! Send a buck today!,,,politics
68,7,28,The Young Ones,replaces Monty Python,17,,media
69,7,29,"Anti-nuke, war, defense, military industrial complex demonstrators + activists",,,,politics
70,7,30,Grateful Dead Bootlegs,,40,,music
71,7,31,The Flintstones,,,,media
72,7,32,Downhill Skiing,,,,sports
73,7,33,Alaskan Grown Matanuska Thunderfuck,,,,cannabis
74,7,34,Analog,S.F. magazine,,,media
75,7,35,Shark Surfing,,,,sports
76,7,36,Ramones,,,,music
77,7,37,Honest Dealers,,,,cannabis
78,7,38,Roots Music,reggae,,,music
79,7,39,Hendrix,,6,,music
80,7,40,Peace Signs,,,,politics
81,11,1,Bong Hits,,3,,cannabis
82,11,2,Joining NORML,,,,politics
83,11,3,Red River Bottom Gold Buds,,10,,cannabis
84,11,4,Cheech + Chong movies,,36,,media
85,11,5,L.S.D.,,5,,drugs
86,11,6,Grateful Dead,,1,,music
87,11,7,"Subversive, intellectual books",,,,media
88,11,8,Frozen chocolate chip cookies,,73,,food
89,11,9,Alice Cooper,,,,music
90,11,10,"Honest, reliable connections",,,,cannabis
91,11,11,Hendrix,,26,,music
92,11,12,Mozart,,,,music
93,11,13,The Doors,,19,,music
94,11,14,Giving up booze,smoke pot instead,,,cannabis
95,11,15,Led Zep,,7,,music
96,11,16,The Rasta Dog of Getaway,,6,,people
97,11,17,Beatles,,16,,music
98,11,18,Allen Watts,,,,media
99,11,19,"Hot, passionate sex with Andrea D.",,,,sex
100,11,20,Freedom,,,,politics
101,11,21,Pink Floyd,,14,,music
102,11,22,'Shrooms,,13,,drugs
103,11,23,Partying in Provincetown,,,,milestones
104,11,24,William Blake,,,,media
105,11,25,Handing in that last term paper,,,,milestones
106,11,26,C.B. Radio,,,,media
107,11,27,Chanting the Kama Sutra stoned,,,,experience
108,11,28,Dump Raygun,,9,,politics
109,11,29,Psychedelics,,,,drugs
110,11,30,Sex,,2,,sex
111,11,31,Living outside the USSR,,,,politics
112,11,32,XTC,,,,music
113,11,33,Sensory deprivation,,,,religion
114,11,34,Jesus Christ,,,,religion
115,11,35,Grass,,,,cannabis
116,11,36,"Hot, raunchy, macho fucking",,,,sex
117,11,37,Capitalist space colonies,,,,politics
118,11,38,Shmee,kick-ass word for pot,,,slang
119,11,39,Dead Head stickers,,,,music
120,11,40,Acid Art,,,,drugs
121,11,41,Metallica,,60,,music
122,11,42,South American airspace,,,,politics
123,11,43,Ronald Reagan,the smugglers blues,11,,politics
124,11,44,Atomic Flower Power,,,,slang
125,11,45,Panama Red,,,,cannabis
126,11,46,Felix the Cat,,,,media
127,11,47,The Beach,,,,experience
128,11,48,"Ice, cold, Mountain Dew",,,,drugs
129,11,49,Fire it up hell!,,,,experience
130,11,50,The The,,,,music
131,11,51,Sativa,,,,cannabis
132,11,52,K.G.B.,killer green buds,,,cannabis
133,11,53,Asteroids,,,,media
134,11,54,Frank Zappa,,,,music
135,11,55,"Man, this stuff is STICKY!!!",,,,cannabis
136,11,56,The Rapture,"life's a bitch, then you marry one",,,religion
137,11,57,Doin' Fatties,,,,food
138,11,58,Old Friends,,,,people
139,11,59,"My cat, Isis",,,,people
140,11,60,Brewtowski,,,,drugs
141,11,61,Codeine,,,,drugs
142,11,62,Stevie Nicks in leather,,,,music
143,11,63,Deep Fuckin' Purple,,,,music
144,11,64,Stoner Weapon,,,,cannabis
145,11,65,Mister Howell on Gilligan's Island,,,,media
146,11,66,Squiblibian,,,,slang
147,11,67,Beer,"esp. Bud, Beck's + Anchor Steam",12,,cannabis
148,11,68,Cocaine warning verse,,,,drugs
149,11,69,Chopsticks,,,,food
150,11,70,Hard-ons in church,,,,sex
151,11,71,"Pot is an herb, Reagan is a dope",,,,politics
152,11,72,Compusex,sex via computer modem,,,sex
153,11,73,Kaya,,,,cannabis
154,11,74,No hangovers!,,,,drugs
155,11,75,Hael-Ham,that I am,,,slang
156,11,76,Fuckheadddd,,,,slang
157,11,77,Post Nasal Drip,,,,drugs
158,11,78,Foreplay,,,,sex
159,11,79,Death hits,you gotta cough to get off!,,,cannabis
160,11,80,Killing deer,says Brian,,,politics
161,11,81,Animal lovers,says Angie,,,people
162,11,82,Sex with Angie,says everybody,,,sex
163,11,83,Air Supply,,,,music
164,11,84,Happiness is the bag of pot the cops didn't find,,,,cannabis
165,11,85,Bee Bim Bob,Korean dish,,,food
166,11,86,Mutual masturbation,,,,sex
167,11,87,Remote controls,,,,media
168,11,88,Everlasting Gobstoppers,,,,food
169,11,89,Leaving your body while flashbacking at a party,,,,experience
170,11,90,"It's steamin', it's smokin', my brain is broken",,,,experience
171,11,91,Ralph + Sue,,,,people
172,11,92,Howard Stern,,39,,media
173,11,93,Getting flashed by a pretty girl,,,,sex
174,11,94,Running over cats,,,,misc
175,11,95,Chicago White Sox,,,,sports
176,11,96,Oral sex with small domestic farm animals,,,,sex
177,11,97,G.L.O.W.,,,,media
178,11,98,The Blue Dogs,,,,music
179,13,1,Pink Floyd,,41,,music
180,13,2,LSD,,1,,drugs
181,13,3,Sex,,86,,sex
182,13,4,Bilbo + Frodo's birthday,Sept. 22,,,media
183,13,5,Money,lots of it,,,milestones
184,13,6,Nam Myo-Ho Renge Kyo,,,,religion
185,13,7,Led Zeppelin,,22,,music
186,13,8,"""X"" joints",,,,cannabis
187,13,9,The Fabulous Furry Freak Brothers,,,,media
188,13,10,Indoor grow rooms,,,,cannabis
189,13,11,Tripping out at the Northville Insane Asylum in Michigan,abandoned,,,experience
190,13,12,Vinny,,,,people
191,13,13,"""Da Killah"" buds",,,,cannabis
192,13,14,Sex while tripping,,,,experience
193,13,15,The World Series,,,,sports
194,13,16,Kid's Rights,,,,politics
195,13,17,The National Lampoon,,31,,media
196,13,18,Trippin',,33,,drugs
197,13,19,Freedom,,57,,politics
198,13,20,Grateful Dead,they melt in your mind,8,,music
199,13,21,Bill the Cat and Opus,Bloom County,,,media
200,13,22,Angry Samoans,,15,,music
