installment_id,issue_id,format_name,slots,page,header_text,editor_note,money_total,source,transcribed
1,1986-09,Top 40,40,98,TOP 40,DEBUT — no last-month column,,archive.org,0
2,1986-10,Top 40,40,98,TOP 40,last-month column introduced,,archive.org,0
3,1986-11,Top 40,40,98,TOP 40,gag column headers appear,,archive.org,0
4,1986-12,Top 40,40,98,TOP 40,,,archive.org,0
5,1987-01,Top 40,40,98,TOP 40,,,brooks-photo,1
6,1987-02,Top 40,40,97,TOP 40,THE READERS HAVE SPOKEN! — Dump Reagan debuts at #1,,archive.org,0
7,1987-03,Top 40,40,97,TOP 40,This vote is a landslide!,,brooks-photo,1
8,1987-05,Top 40,40,97,IT'S BACK! THE HIGH TIMES TOP 40,revived after a gap,,archive.org,0
9,1987-06,Top 80,80,97,IT'S BACK! THE HIGH TIMES TOP 80! BY POPULAR DEMAND!,,,archive.org,0
10,1987-07,Top 100,100,97,THE READERS HAVE SPOKEN! AND YOU HAVE DEMANDED THE TOP 100!,first Top 100; cover-billed,,archive.org,0
11,1987-08,Top 100,100,97,THE HIGH TIMES TOP 100,,,brooks-photo,1
12,1987-09,Top 100,100,97,HERE IT IS! THE PAGE YOU'VE ALL BEEN WAITING FOR! THE TOP 100!,,,archive.org,0
13,1987-10,Top 100,100,97,TOP 100,ACHTUNG! Ballot box stuffers are STRICTLY VERBOTEN — one person one vote,,brooks-photo,1
14,1987-11,Top 100,100,97,IT'S THE TOP 100 ALL RIGHT!,Hardly ANYONE voted for ANYTHING that was on the LIST — that's how Ollie won,,brooks-photo,1
15,1988-04,Top 100,100,97,HEY! IT'S THE TOP 100,April Fool issue; first NORMLthon experiment appears this issue,,brooks-photo,1
16,1988-05,Top 100,100,97,TOP 100 (brick wall graffiti),,,archive.org,0
17,1988-06,Top 100,100,97,THE TOP 100 CLUB HAS BEEN CALLED! JOIN IN! IT'S GETTIN' NUTS!,SOME PEOPLE HAVE BEEN COMPLAINING ABOUT THE VOTING PROCEDURES — ~50 people sent in for the Dead; 40-name petition behind #5,,archive.org,0
18,1988-07,Top 100,100,97,THE TOP 100 (starfield),,,archive.org,0
19,1988-08,Top 100,100,97,TOP 100 (jungle border),,,archive.org,0
20,1988-09,Top 100,100,,TOP 100,,,ht-vault,0
21,1988-10,Top 100,100,97,THE TOP 100 HAS BEEN TAKEN OVER BY THE MONSTER PLANTS,photo-collage border,,archive.org,0
22,1988-11,Top 100,100,97,HOO HAH! WE'RE SMOKIN' UP ALL THOSE MONSTER PLANTS,Holmstrom margin rant against pro-pot electoral politics,,archive.org,0
23,1988-12,NORMLthon,100,97,THE 1988 NORMLTHON,ranked by donation; category for entries under one dollar,2007.25,archive.org,0
24,1989-01,Top 100,100,97,IT'S BACK! TOP 100 WOW!,,,archive.org,0
25,1989-03,Top 100,100,,THE TOP 100,first returns for the NORMLthon; over $600 raised in two weeks,,ht-vault,0
26,1989-06,Top 100,100,,THE TOP 100 NORMLTHON,deadline July 4 1989; no guarantee of listing without donation,3000,archive.org,0
27,1989-09,Top 100,100,97,IT'S THE EXTRA-LARGE HIGH TIMES TOP 100!!!,,,archive.org,0
28,1989-11,Top 100,100,,TOP 100,,,ht-vault,0
29,1989-12,Top 500,500,93,THE TOP 500,printed black and white; entries carry dollar figures and vote counts,9148.09,archive.org,0
30,1991-07,Hemp 100,100,,THE HEMP 100,referenced in Dec 1991 letters page,,ht-vault,0
31,1991-09,Hemp 100,100,,THE HEMP 100,listed in cover contents,,ht-vault,0
32,1995-11,Hemp 100,100,,the HEMP 100,,,ht-vault,0
33,1996-02,Hemp 100,100,,HEMP 100,half the votes now arrive via High Times Online,,ht-vault,0
34,1997-08,Hemp 100,100,,THE HEMP 100,Holmstrom byline,,ht-vault,0
35,2000-10,Hemp 100,100,,THE HALLOWEEN HEMP 100,,,ht-vault,0
36,2007-10,Pot 40,40,,POT 40,Holmstrom byline,,ht-vault,0
37,2012-01,Pot 40,40,,The POT40,ballot solicits votes via hightimes.com,,ht-vault,0
