issue_id,year,month,issue_number,archive_file
1986-09,1986,9,,133 High Times September 1986.pdf
1986-10,1986,10,,134 High Times October 1986.pdf
1986-11,1986,11,,135 High Times November 1986.pdf
1986-12,1986,12,,136 High Times December 1986.pdf
1987-01,1987,1,,137 High Times January 1987.pdf
1987-02,1987,2,,138 High Times February 1987.pdf
1987-03,1987,3,,139 High Times March 1987.pdf
1987-05,1987,5,,141 High Times May 1987.pdf
1987-06,1987,6,,142 High Times June 1987.pdf
1987-07,1987,7,,143 High Times July 1987.pdf
1987-08,1987,8,,144 High Times August 1987.pdf
1987-09,1987,9,,145 High Times September 1987.pdf
1987-10,1987,10,,146 High Times October 1987.pdf
1987-11,1987,11,,147 High Times November 1987.pdf
1988-04,1988,4,,152 High Times April 1988.pdf
1988-05,1988,5,,153 High Times May 1988.pdf
1988-06,1988,6,,154 High Times June 1988.pdf
1988-07,1988,7,,155 High Times July 1988.pdf
1988-08,1988,8,,156 High Times August 1988.pdf
1988-09,1988,9,,157 High Times September 1988.pdf
1988-10,1988,10,,158 High Times October 1988.pdf
1988-11,1988,11,,159 High Times November 1988.pdf
1988-12,1988,12,,160 High Times December 1988.pdf
1989-01,1989,1,,161 High Times January 1989.pdf
1989-03,1989,3,,163 High Times March 1989.pdf
1989-06,1989,6,,166 High Times June 1989.pdf
1989-09,1989,9,,169 High Times September 1989.pdf
1989-11,1989,11,,171 High Times November 1989.pdf
1989-12,1989,12,,172 High Times December 1989.pdf
1990-12,1990,12,184,
1991-07,1991,7,,
1991-09,1991,9,,
1995-11,1995,11,,
1996-02,1996,2,,
1997-08,1997,8,,
2000-10,2000,10,,
2007-10,2007,10,,
2012-01,2012,1,,
